,image_name,inputs
83,dataset\images\frame_084.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
84,dataset\images\frame_085.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
85,dataset\images\frame_086.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
86,dataset\images\frame_087.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
87,dataset\images\frame_088.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
88,dataset\images\frame_089.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
89,dataset\images\frame_090.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
90,dataset\images\frame_091.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
91,dataset\images\frame_092.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
92,dataset\images\frame_093.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
93,dataset\images\frame_094.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
94,dataset\images\frame_095.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
95,dataset\images\frame_096.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
96,dataset\images\frame_097.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
97,dataset\images\frame_098.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
98,dataset\images\frame_099.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
99,dataset\images\frame_100.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
100,dataset\images\frame_101.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
101,dataset\images\frame_102.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
102,dataset\images\frame_103.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
103,dataset\images\frame_104.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
104,dataset\images\frame_105.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
105,dataset\images\frame_106.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
106,dataset\images\frame_107.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
107,dataset\images\frame_108.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
108,dataset\images\frame_109.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
109,dataset\images\frame_110.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
110,dataset\images\frame_111.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
111,dataset\images\frame_112.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
112,dataset\images\frame_113.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
113,dataset\images\frame_114.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
114,dataset\images\frame_115.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
115,dataset\images\frame_116.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
116,dataset\images\frame_117.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
117,dataset\images\frame_118.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
118,dataset\images\frame_119.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
119,dataset\images\frame_120.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
120,dataset\images\frame_121.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
121,dataset\images\frame_122.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
122,dataset\images\frame_123.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
123,dataset\images\frame_124.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
124,dataset\images\frame_125.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
125,dataset\images\frame_126.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
126,dataset\images\frame_127.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
127,dataset\images\frame_128.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
128,dataset\images\frame_129.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
129,dataset\images\frame_130.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
130,dataset\images\frame_131.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
131,dataset\images\frame_132.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
132,dataset\images\frame_133.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
133,dataset\images\frame_134.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
134,dataset\images\frame_135.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
135,dataset\images\frame_136.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
136,dataset\images\frame_137.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
137,dataset\images\frame_138.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
138,dataset\images\frame_139.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
139,dataset\images\frame_140.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
140,dataset\images\frame_141.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
141,dataset\images\frame_142.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
142,dataset\images\frame_143.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
143,dataset\images\frame_144.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
144,dataset\images\frame_145.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
145,dataset\images\frame_146.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
146,dataset\images\frame_147.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
147,dataset\images\frame_148.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
148,dataset\images\frame_149.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
149,dataset\images\frame_150.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
150,dataset\images\frame_151.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
151,dataset\images\frame_152.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
152,dataset\images\frame_153.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
153,dataset\images\frame_154.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
154,dataset\images\frame_155.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
155,dataset\images\frame_156.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
156,dataset\images\frame_157.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
157,dataset\images\frame_158.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
158,dataset\images\frame_159.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
159,dataset\images\frame_160.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
160,dataset\images\frame_161.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
161,dataset\images\frame_162.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
162,dataset\images\frame_163.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
163,dataset\images\frame_164.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
164,dataset\images\frame_165.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
165,dataset\images\frame_166.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
166,dataset\images\frame_167.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
167,dataset\images\frame_168.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
168,dataset\images\frame_169.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
169,dataset\images\frame_170.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
170,dataset\images\frame_171.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
171,dataset\images\frame_172.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
172,dataset\images\frame_173.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
173,dataset\images\frame_174.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
